player,age,x2020_21,fg_percent,x3p_percent
Alen Smailagi?,19,1517981,50,23.1
Andrew Wiggins,25,29542010,46.5,33.3
Chasson Randle,27,NA,0,0
Damion Lee,27,1762796,41,35
Dragan Bender,22,NA,36.7,29.2
Draymond Green,30,22246956,38.9,27.9
Eric Paschall,23,1517981,49.5,29.2
Jordan Poole,20,2063280,32.6,28
Juan Toscano-Anderson,26,1517981,48.1,42.1
Kevon Looney,24,4821429,36.7,7.1
Klay Thompson,30,35361360,NA,NA
Ky Bowman,22,1517981,41,30.5
Marquese Chriss,22,1824003,54.6,21.6
Mychal Mulder,25,NA,43.6,36.7
Stephen Curry,31,43006362,40.9,24.3
